,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Large_apartment,Medium_apartment,Small_apartment,cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita_uno,Growth,GDP_per_capita_otro,Unemployment,url,Average_Annual_percent_sunshine
181,317,1.00,3,31,19,École Normale Supérieure,$47.00,$3.80,$83.00,$15.00,$2700,$2000,$1400,Paris,"Paris, the most visited city in the world, is a historical, cultural and esthetic gem that has played a major role in European history for centuries. Its overwhelming beauty, architectural wonders and national cuisine call to people from around the world, adding to its exciting and diverse environment. As a global economic center, Paris offers opportunities in a wide range of industries and business markets.
Paris is one of the top ten city matches for 9.5% of Teleport users.","10,913,500",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,142,147,119,295,EUR,$40374.53,2%,"$40,375",10%,https://teleport.org/cities/paris/,180
182,38,0.19,1,24,16,University of Western Australia,$34.00,$2.40,$88.00,$15.00,$1800,$1700,$1600,Perth,"Perth, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","3,152,900",0.79,,✔ Legal,Varies by Region,0.10,96,97,40,59,AUD,$46433.30,7%,"$46,433",6%,https://teleport.org/cities/perth/,12.5
183,123,0.16,11,129,24,University of Pennsylvania,$50.00,$0.92,$18.00,$5.30,$2100,$1700,$1200,Philadelphia,"Philadelphia, Pennsylvania, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and internet access.
Philadelphia is one of the top ten city matches for 0.4% of Teleport users.","3,833,200",80.47,✔ Equal,✖ No protections,0.35,0.08,377,366,174,212,USD,$54596.65,0%,"$54,597",5%,https://teleport.org/cities/philadelphia/,93
184,15,0.10,1,4,No hay dato,No hay dato,$31.00,$2.40,$58.00,$13.00,$880,$660,$430,Phnom-Penh,"Phnom Penh, Cambodia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.","1,625,600",55.34,✔ Equal,✖ No protections,0.66,0.10,25,18,7,13,KHR,$3262.55,12%,"$3,263",0%,https://teleport.org/cities/phnom-penh/,282
185,121,0.11,14,154,24,Arizona State University,$48.00,$2.20,$14.00,$5.20,$1300,$1100,$860,Phoenix,"Phoenix, Arizona, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, leisure & culture and outdoors.
Phoenix is one of the top ten city matches for 0.2% of Teleport users.","4,423,600",70.00,✔ Equal,✖ No protections,0.40,0.09,192,175,70,58,USD,$54596.65,13%,"$54,597",5%,https://teleport.org/cities/phoenix/,211
186,32,0.15,1,16,43,418.52,$34.00,$2.80,$95.00,$12.00,$760,$590,$410,Phuket,"Phuket, Thailand, is characterized by reasonably priced housing. Our data reflects that this city has a good ranking in cost of living and taxation.","340,200",61.15,✔ Equal,✔ Sexual orientation and gender identity,0.42,0.10,112,86,61,30,THB,$14354.30,36%,"$14,354",1%,https://teleport.org/cities/phuket/,12.5
187,38,0.11,11,129,24,Carnegie Mellon University,$41.00,$2.60,$94.00,$14.00,$1500,$1200,$880,Pittsburgh,"Pittsburgh, Pennsylvania, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and internet access.
Pittsburgh is one of the top ten city matches for 1.0% of Teleport users.","1,507,600",80.47,✔ Equal,✖ No protections,0.66,0.07,146,174,89,155,USD,$54596.65,-3%,"$54,597",5%,https://teleport.org/cities/pittsburgh/,58
188,57,0.14,12,93,24,Oregon Health and Science University,$41.00,$1.10,$42.00,$7.70,$2000,$1700,$1400,Portland-or,"Portland, Oregon, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Portland, OR is one of the top ten city matches for 0.7% of Teleport users.","2,104,100",96.88,✔ Equal,✔ Sexual orientation and gender identity,0.64,No hay dato,140,124,77,77,USD,$54596.65,5%,"$54,597",5%,https://teleport.org/cities/portland-or/,68
189,61,0.30,2,9,18,University of Porto,$35.00,$2.40,$63.00,$7.40,$920,$730,$540,Porto,"Porto, Portugal, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Porto is one of the top ten city matches for 1.3% of Teleport users.","1,684,200",95.36,✔ Equal,✔ Sexual orientation and gender identity,0.93,0.23,84,100,73,126,EUR,$26974.63,-3%,"$26,975",11%,https://teleport.org/cities/porto/,12.7
190,27,No hay dato,21,8,52,Pontifical Catholic University of Rio Grande do Sul (PUCRS),$45.00,$0.82,$26.00,$7.40,$670,$530,$390,Porto-Alegre,"Porto Alegre, Brazil, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.","1,822,100",0.60,✔ Legal,✔ Legal,✔ Legal,0.42,164,171,58,89,BRL,$16096.32,0%,"$16,096",13%,https://teleport.org/cities/porto-alegre/,242
191,94,0.65,2,17,21,Charles University in Prague,$73.00,$2.50,$12.00,$32.00,$1100,$940,$740,Prague,"Prague, Czechia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and healthcare.
Prague is one of the top ten city matches for 11.9% of Teleport users.","1,860,800",81.25,No hay dato,No hay dato,No hay dato,No hay dato,117,139,143,116,CZK,$29925.13,8%,"$29,925",6%,https://teleport.org/cities/prague/,12.9
192,103,0.12,5,29,24,Brown University,$33.00,$2.60,$70.00,$12.00,$1500,$1200,$980,Providence,"Providence, Rhode Island, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","341,500",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.54,0.07,87,68,20,17,USD,$54596.65,-1%,"$54,597",5%,https://teleport.org/cities/providence/,99
193,18,0.12,2,31,5,Laval University,$56.00,$1.50,$13.00,$4.20,$850,$700,$550,Quebec,"Quebec, Canada, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.","767,900",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,71,55,37,43,CAD,$44843.44,4%,"$44,843",7%,https://teleport.org/cities/quebec/,12.8
194,23,No hay dato,16,1,No hay dato,No hay dato,$47.00,$2.60,$43.00,$11.00,$620,$520,$430,Quito,"Quito, Ecuador, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.","1,544,900",86.69,✔ Equal,✔ Sexual orientation and gender identity,0.88,0.12,57,91,59,37,USD,$11244.20,9%,"$11,244",6%,https://teleport.org/cities/quito/,12.5
195,39,0.11,12,95,24,Duke University,$87.00,$3.90,$120.00,$26.00,$1500,$1200,$930,Raleigh,"Raleigh, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, education and environmental quality.
Raleigh is one of the top ten city matches for 3.4% of Teleport users.","1,317,300",67.58,Ambiguous,✖ No protections,0.83,0.07,183,142,53,38,USD,$54596.65,13%,"$54,597",5%,https://teleport.org/cities/raleigh/,111
196,36,No hay dato,0,30,28,University of Iceland,$29.00,$1.80,$63.00,$13.00,$2600,$2100,$1600,Reykjavik,"Reykjavik, Iceland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Reykjavik is one of the top ten city matches for 0.5% of Teleport users.","216,900",92.79,✔ Equal,✔ Sexual orientation and gender identity,0.96,0.24,83,80,39,55,ISK,$43637.27,6%,"$43,637",3%,https://teleport.org/cities/reykjavik/,13.6
197,19,0.11,10,246,16,478.04,$50.00,$1.20,$63.00,$7.50,$1400,$1100,$920,Richmond,"Richmond, Virginia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and internet access.","513,700",70.00,✔ Equal,✖ No protections,0.72,0.05,97,98,64,28,USD,$54596.65,5%,"$54,597",5%,https://teleport.org/cities/richmond/,100
198,68,0.13,1,19,25,University of Latvia,$41.00,$1.40,$61.00,$9.00,$710,$580,$450,Riga,"By Elizabete Laivina

Riga is a great place for young people due to its low cost of living and vibrant creative scene. It boasts excellent museums and art galleries, an active night life and close-by unspoiled nature. Riga is also an avid sports city with frequent football, basketball and ice hockey matches.
Riga is one of the top ten city matches for 1.1% of Teleport users.","990,600",74.15,✔ Equal,✔ Sexual orientation and gender identity,0.62,0.21,162,110,99,136,EUR,$23706.56,-3%,"$23,707",10%,https://teleport.org/cities/riga/,13.1
199,55,No hay dato,21,8,52,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),$96.00,$1.20,$42.00,$7.80,$970,$760,$560,Rio-De-Janeiro,"Rio de Janeiro is the second most populous city in Brazil, known for the beautiful scenery samba rhythms and Carnival. It is the national center for oil, mining and telecommunications, but the major economic base is in tourism and entertainment industries. With affordable rentals, friendly expat community and tropical climate, Rio is for people looking for a relaxed and welcoming environment.
Rio De Janeiro is one of the top ten city matches for 0.2% of Teleport users.","10,651,900",0.60,✔ Legal,✔ Legal,✔ Legal,0.42,150,258,103,144,BRL,$16096.32,2%,"$16,096",13%,https://teleport.org/cities/rio-de-janeiro/,12.5
200,79,0.10,1,35,No hay dato,King Saud University,$31.00,$1.70,$59.00,$12.00,$840,$670,$500,Riyadh,"Riyadh, Saudi Arabia, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.","4,206,000",3.19,,✖ No protections,0.48,No hay dato,55,68,35,45,SAR,$52183.40,12%,"$52,183",11%,https://teleport.org/cities/riyadh/,12.5
201,18,0.12,4,26,24,University of Rochester,$79.00,$1.60,$45.00,$16.00,$1300,$1100,$810,Rochester,"Rochester, New York, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in housing and healthcare.","345,300",86.72,✔ Equal,Sexual orientation only,0.29,0.08,110,103,54,26,USD,$54596.65,-1%,"$54,597",5%,https://teleport.org/cities/rochester/,61
202,189,0.48,1,12,26,Sapienza University of Rome,$31.00,$1.40,$81.00,$17.00,$1800,$1400,$1100,Rome,"Rome, the Eternal City, is a historic marvel with great travel connections mild Mediterranean climate and intense urban energy. Its outgoing society is known for its style, fondness for football and the world-famous restaurants and cafes that can be sampled on every corner. Rome also hosts an independent country—Vatican City—within its borders. Its long history and modern achievements make Rome one of the most visited cities in the world.","3,489,600",0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,77,66,84,126,EUR,$35486.17,1%,"$35,486",11%,https://teleport.org/cities/rome/,12.7
203,237,0.65,1,4,12,531.84,$33.00,$1.10,$49.00,$7.30,$1500,$1300,$1000,Rotterdam,"By Ander Hindremäe

Rotterdam is a multicultural hub with a modern look, low level of corruption, an advanced public transport system and superb network of bike-paths. While less touristy than some of its neighboring Dutch cities, Rotterdam hosts the largest port in Europe, making it an important transit, logistical and marine center. With its high quality of life and lively cultural scene, Rotterdam has been welcoming visitors for almost 800 years.
Rotterdam is one of the top ten city matches for 1.6% of Teleport users.","989,900",97.37,✔ Equal,✔ Sexual orientation and gender identity,0.66,0.21,141,165,82,25,EUR,$47354.53,2%,"$47,355",6%,https://teleport.org/cities/rotterdam/,130
204,109,0.67,25,9,21,Saint Petersburg State University,$27.00,$3.10,$90.00,$11.00,$930,$720,$510,Saint-Petersburg,"Saint Petersburg, Russia, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Saint Petersburg is one of the top ten city matches for 0.4% of Teleport users.","9,148,000",0.16,✖ Single only,✔ Legal,✖ Not legal,0.18,140,162,150,195,RUB,$24805.49,3%,"$24,805",8%,https://teleport.org/cities/saint-petersburg/,13.3
205,91,0.11,12,130,24,University of Utah,$41.00,$2.60,$39.00,$12.00,$1500,$1200,$940,Salt-Lake-City,"Salt Lake City, Utah, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in venture capital, healthcare and internet access.
Salt Lake City is one of the top ten city matches for 2.4% of Teleport users.","1,385,100",92.97,✔ Equal,✔ Sexual orientation and gender identity,0.77,0.07,137,116,57,15,USD,$54596.65,6%,"$54,597",5%,https://teleport.org/cities/salt-lake-city/,125
206,35,0.11,11,123,24,University of Texas at San Antonio,$43.00,$2.20,$67.00,$14.00,$1500,$1200,$890,San-Antonio,"San Antonio, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in cost of living, healthcare and internet access.
San Antonio is one of the top ten city matches for 0.5% of Teleport users.","1,823,400",64.44,✔ Equal,✖ No protections,0.60,0.08,136,201,71,65,USD,$54596.65,10%,"$54,597",5%,https://teleport.org/cities/san-antonio/,106
207,83,0.12,8,61,24,"University of California, San Diego",$75.00,$2.50,$93.00,$14.00,$2300,$1900,$1500,San-Diego,"San Diego, California, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, venture capital and safety.
San Diego is one of the top ten city matches for 1.4% of Teleport users.","4,233,700",93.19,✔ Equal,✔ Sexual orientation and gender identity,0.75,0.08,250,233,94,131,USD,$54596.65,3%,"$54,597",5%,https://teleport.org/cities/san-diego/,147
208,111,0.22,8,61,24,Stanford University,$62.00,$1.50,$40.00,$8.50,$4100,$3300,$2600,San-Francisco-Bay-Area,"San Francisco Bay Area, California, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and healthcare.
San Francisco Bay Area is one of the top ten city matches for 6.9% of Teleport users.","10,287,800",93.19,✔ Equal,✔ Sexual orientation and gender identity,0.65,0.09,421,307,281,221,USD,$54596.65,2%,"$54,597",5%,https://teleport.org/cities/san-francisco-bay-area/,298
209,39,No hay dato,8,10,39,406.48,$41.00,$2.30,$35.00,$11.00,$940,$830,$730,San-Jose,"San Jose, Costa Rica, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and leisure & culture.","1,140,100",77.43,✔ Equal,✔ Sexual orientation and gender identity,1.00,0.13,139,157,56,101,CRC,$14864.27,3%,"$14,864",9%,https://teleport.org/cities/san-jose/,271
210,49,No hay dato,16,22,No hay dato,No hay dato,$12.00,$3.40,No hay dato,$42.00,$1200,$950,$710,San-Juan,"San Juan, Puerto Rico, is characterized by reasonably priced housing. This urban area is consistently ahead in leisure & culture.","581,800",0.73,No hay dato,No hay dato,No hay dato,No hay dato,111,71,49,21,USD,No hay dato,-3%,14%,No hay dato,https://teleport.org/cities/san-juan/,70
211,4,0.12,8,61,16,478.04,$30.00,$1.30,$25.00,$5.10,$2500,$1900,$1200,San-Luis-Obispo,"San Luis Obispo, California, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","47,300",93.19,✔ Equal,✔ Sexual orientation and gender identity,0.98,No hay dato,29,24,11,4,USD,$54596.65,3%,"$54,597",5%,https://teleport.org/cities/san-luis-obispo/,337
212,32,No hay dato,46,6,No hay dato,No hay dato,$54.00,$1.70,$61.00,$8.00,$730,$580,$430,San-Salvador,"San Salvador, El Salvador, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.","1,436,700",0.34,✖ Illegal,✔ Legal,"✖ Unrecognized, same-sex marriage and civil unions banned",0.13,53,78,30,38,USD,$8020.62,-1%,"$8,021",6%,https://teleport.org/cities/san-salvador/,12.5
213,40,0.27,2,11,37,Pontifical Catholic University of Chile,$31.00,$2.10,$33.00,$8.20,$910,$730,$540,Santiago,"Santiago, Chile, is characterized by low taxes. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.
Santiago is one of the top ten city matches for 1.7% of Teleport users.","6,193,900",0.68,✖ Single only,✔ Legal,✔ Civil unions,0.19,91,138,60,196,CLP,$22971.44,7%,"$22,971",7%,https://teleport.org/cities/santiago/,12.5
214,29,No hay dato,16,5,No hay dato,55,$49.00,$1.40,$57.00,$9.30,$620,$490,$370,Santo-Domingo,"Santo Domingo, Dominican Republic, is characterized by reasonably priced housing. This urban area is consistently ahead in cost of living.","4,005,300",41.72,✔ Equal,✖ No protections,0.62,0.18,62,108,29,30,DOP,$13012.18,5%,"$13,012",14%,https://teleport.org/cities/santo-domingo/,12.5
215,96,No hay dato,21,8,52,University of São Paulo,$33.00,$0.77,$34.00,$6.50,$950,$760,$580,Sao-Paulo,"Sao Paulo, Brazil, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and startups.
Sao Paulo is one of the top ten city matches for 0.4% of Teleport users.","21,382,400",0.60,✔ Legal,✔ Legal,✔ Legal,0.42,287,354,149,307,BRL,$16096.32,3%,"$16,096",13%,https://teleport.org/cities/sao-paulo/,12.5
216,13,0.10,2,17,No hay dato,No hay dato,$44.00,$2.30,$69.00,$11.00,$470,$370,$260,Sarajevo,"Sarajevo, Bosnia and Herzegovina, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Sarajevo is one of the top ten city matches for 1.9% of Teleport users.","745,100",78.59,✔ Equal,✔ Sexual orientation and gender identity,0.75,0.17,38,18,21,14,BAM,$9833.20,-1%,"$9,833",43%,https://teleport.org/cities/sarajevo/,236
217,9,0.13,2,31,5,University of Saskatchewan,$55.00,$2.50,$100.00,$15.00,$1200,$1000,$800,Saskatoon,"Saskatoon, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","199,000",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,25,46,6,9,CAD,$44843.44,9%,"$44,843",7%,https://teleport.org/cities/saskatoon/,299.5
218,95,0.13,9,76,24,University of Washington,$77.00,$2.70,$59.00,$7.90,$2600,$2100,$1600,Seattle,"Seattle, Washington, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, venture capital and healthcare.
Seattle is one of the top ten city matches for 3.2% of Teleport users.","3,830,300",91.25,✔ Equal,✔ Sexual orientation and gender identity,0.68,0.10,263,251,164,132,USD,$54596.65,4%,"$54,597",5%,https://teleport.org/cities/seattle/,71
219,139,0.62,0,1,7,Seoul National University,$39.00,$1.10,$44.00,$11.00,$1700,$1200,$740,Seoul,"Seoul is a fast-paced metropolis with 24 hour facilities and expat-friendly social environment. The vibrant nightlife scene, fabulous pop culture as well as the refreshing nature can be reached by using Seoul’s affordable and reliable public transport system, which is also equipped with public wifi common to the most wired city in the world. The advanced technological environment and delicious local food combined with the low crime rate truly make it a highly attractive destination.
Seoul is one of the top ten city matches for 18.4% of Teleport users.","21,658,800",0.39,Married couples only,✔ Legal,✖ Unrecognized,0.10,238,215,237,149,KRW,$35277.35,5%,"$35,277",4%,https://teleport.org/cities/seoul/,250
220,49,0.42,1,10,22,University of Seville,$59.00,$0.84,$31.00,$6.20,$930,$760,$590,Seville,"Seville, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and business freedom.","1,073,300",0.88,✔ Legal,✔ Legal,✔ Legal,0.21,81,98,50,27,EUR,$33711.41,-1%,"$33,711",20%,https://teleport.org/cities/seville/,129
221,180,0.60,0,5,8,Fudan University,$110.00,$4.40,$73.00,$10.00,$1800,$1300,$800,Shanghai,"Shanghai, China, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in cost of living, travel connectivity and safety.
Shanghai is one of the top ten city matches for 4.3% of Teleport users.","50,883,400",0.21,✖ Illegal,✔ Legal,✖ Not legal,0.17,104,106,180,92,CNY,$12879.85,9%,"$12,880",4%,https://teleport.org/cities/shanghai/,12.6
222,134,No hay dato,0,1,1,National University of Singapore,$30.00,$0.91,$28.00,$6.70,$2800,$2300,$1900,Singapore,"Singapore is the futuristic bridge between East and West. It is an attractive site for startups, offering access to capital and a highly qualified workforce. When it comes to culture, the city is a dense mix of Chinese, Indian and Malay as well as Western influences. Despite Singapore’s high urban density, it remains as one of the greenest cities in the world—nearly half of its compact land area is filled with lush greenery.
Singapore is one of the top ten city matches for 42.0% of Teleport users.","5,200,600",31.82,✖ Unequal,✖ No protections,1.00,0.07,206,247,109,157,SGD,$82762.15,12%,"$82,762",2%,https://teleport.org/cities/singapore/,147
223,33,0.12,2,17,No hay dato,53,$27.00,$0.81,$34.00,$6.90,$440,$350,$260,Skopje,"Skopje, Macedonia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and safety.
Skopje is one of the top ten city matches for 1.9% of Teleport users.","833,100",61.30,✔ Equal,✔ Sexual orientation and gender identity,0.24,0.18,82,90,51,99,MKD,$13348.78,2%,"$13,349",25%,https://teleport.org/cities/skopje/,12.7
224,41,0.29,2,6,36,442.60,$27.00,$1.90,$70.00,$12.00,$540,$450,$350,Sofia,"Sofia, Bulgaria, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Sofia is one of the top ten city matches for 2.6% of Teleport users.","1,345,500",79.88,✔ Equal,✔ Sexual orientation and gender identity,0.53,0.20,29,32,55,36,BGN,$17860.31,3%,"$17,860",9%,https://teleport.org/cities/sofia/,12.7
225,61,0.19,15,76,24,Washington University in St Louis,$51.00,$2.30,$97.00,$12.00,$1300,$1000,$800,St-Louis,"St. Louis, Missouri, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.
St. Louis is one of the top ten city matches for 1.4% of Teleport users.","2,118,800",72.14,✔ Equal,✖ No protections,0.14,0.09,209,212,91,120,USD,$54596.65,1%,"$54,597",5%,https://teleport.org/cities/st-louis/,101
226,125,0.68,1,21,19,Karolinska Institute,$44.00,$1.10,$95.00,$12.00,$2000,$1600,$1300,Stockholm,"Stockholm has emerged as one of Europe's innovation and entrepreneurial capitals with a vibrant start-up scene and open, tolerant society. It is also one of the cleanest cities in the world with a population of roughly 1 million residents embracing green-leaning programs and strong environmental protection. Stockholm's winter climate can be a challenge to some, but even then, very few would turn down the opportunity to spend time in this welcoming city.
Stockholm is one of the top ten city matches for 1.2% of Teleport users.","2,292,600",93.59,✔ Equal,✔ Sexual orientation and gender identity,0.18,0.25,128,87,76,94,SEK,$45986.38,9%,"$45,986",7%,https://teleport.org/cities/stockholm/,No hay dato
227,80,0.80,1,30,10,University of Stuttgart,$68.00,$4.40,$140.00,$11.00,$1500,$1200,$900,Stuttgart,"Stuttgart, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Stuttgart is one of the top ten city matches for 2.1% of Teleport users.","1,439,400",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,83,101,63,37,EUR,$45888.42,1%,"$45,888",4%,https://teleport.org/cities/stuttgart/,12.8
228,85,0.25,1,24,16,University of Sydney,$56.00,$1.60,$48.00,$5.30,$2800,$2300,$1700,Sydney,"Sydney, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, safety and healthcare.
Sydney is one of the top ten city matches for 2.1% of Teleport users.","6,811,900",0.79,,✔ Legal,Varies by Region,0.10,141,148,76,62,AUD,$46433.30,7%,"$46,433",6%,https://teleport.org/cities/sydney/,12.6
229,109,No hay dato,1,6,5,National Taiwan University,$62.00,$1.60,$27.00,$10.00,$1100,$820,$500,Taipei,"Taipei, Taiwan, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and economy.
Taipei is one of the top ten city matches for 13.9% of Teleport users.","9,299,300",66.10,✔ Equal,✖ No protections,0.94,0.05,99,38,90,64,TWD,$45853.74,2%,"$45,854",4%,https://teleport.org/cities/taipei/,161
230,28,0.20,3,9,4,Tallinn University of Technology,$32.00,$2.10,$60.00,$13.00,$850,$710,$570,Tallinn,"With its stunning old town and high tech culture, Tallinn offers a unique blend of history and the modern 21st century living. It is among the most wired cities in the world, offering universal free public wifi and free public transportation for residents. The vibrant start-up scene is actively supported by the government and the city's strong tech eco-system. With low tax rates, cost of living and the seaside location, Tallinn is a truly inviting place to live.
Tallinn is one of the top ten city matches for 14.5% of Teleport users.","412,300",75.08,✔ Equal,✔ Sexual orientation and gender identity,0.81,0.20,111,114,53,27,EUR,$26998.78,-5%,"$26,999",7%,https://teleport.org/cities/tallinn/,13.2
231,98,0.12,12,98,24,University of South Florida,$59.00,$3.60,$62.00,$13.00,$1600,$1300,$1100,Tampa-Bay-Area,"Tampa Bay Area, Florida, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and internet access.
Tampa Bay Area is one of the top ten city matches for 1.2% of Teleport users.","3,287,800",67.19,✔ Equal,✖ No protections,0.39,0.07,373,322,191,195,USD,$54596.65,7%,"$54,597",5%,https://teleport.org/cities/tampa-bay-area/,102
232,10,0.44,3,27,6,University of Tampere,$54.00,$1.30,$17.00,$7.90,$1400,$1100,$850,Tampere,"Tampere, Finland, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","264,700",77.55,✔ Equal,✔ Sexual orientation and gender identity,0.87,0.24,71,80,51,15,EUR,$40346.97,6%,"$40,347",9%,https://teleport.org/cities/tampere/,No hay dato
233,1,0.18,3,9,4,University of Tartu,$14.00,$1.10,$4.00,$16.00,$710,$570,$430,Tartu,"By Merilin Jürjo

Tartu is a true student town and home to Estonia's oldest university. Its academic atmosphere and high concentration of bright minds makes it a center for innovation and entrepreneurship. With safe and tolerant environment, the city takes pride in its urban greenery, easy transit and excellent healthcare, all contributing to a high quality of life at a reasonable cost.
Tartu is one of the top ten city matches for 9.9% of Teleport users.","102,700",75.08,✔ Equal,✔ Sexual orientation and gender identity,0.73,0.20,30,30,31,4,EUR,$26998.78,-6%,"$26,999",7%,https://teleport.org/cities/tartu/,236
234,57,0.24,1,2,No hay dato,No hay dato,$47.00,$0.92,$14.00,$6.80,$410,$290,$180,Tashkent,"Tashkent, Uzbekistan, features a very safe living environment. When considering your preferences, this city does not have any category with a high rating.","2,030,900",47.99,✔ Equal,✖ No protections,0.76,0.20,55,48,29,22,UZS,$5609.37,2%,"$5,609",5%,https://teleport.org/cities/tashkent/,113
235,24,0.27,2,7,No hay dato,45,$35.00,$0.76,$17.00,$5.90,$550,$420,$300,Tbilisi,"Tbilisi, Georgia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and safety.
Tbilisi is one of the top ten city matches for 4.6% of Teleport users.","1,116,400",80.63,✔ Equal,✔ Sexual orientation and gender identity,0.82,0.18,58,38,36,20,GEL,$7653.03,-2%,"$7,653",12%,https://teleport.org/cities/tbilisi/,12.7
236,77,0.25,1,7,No hay dato,Sharif University of Technology,$79.00,$3.00,$62.00,$15.00,$970,$770,$570,Tehran,"Tehran, Iran, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","7,153,300",10.42,,✖ No protections,0.74,0.09,136,184,91,79,IRR,$17113.56,5%,"$17,114",11%,https://teleport.org/cities/tehran/,12.6
237,113,0.28,2,7,32,Tel Aviv University,$42.00,$1.40,$96.00,$18.00,$2000,$1600,$1200,Tel-Aviv,"Tel Aviv, Israel, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in startups, business freedom and safety.
Tel Aviv is one of the top ten city matches for 0.1% of Teleport users.","2,554,100",0.40,✔ Legal,✔ Legal,✖ Foreign same-sex marriages recognized only,0.17,163,142,118,70,ILS,$32691.02,8%,"$32,691",5%,https://teleport.org/cities/tel-aviv/,287
238,237,0.62,1,4,12,531.84,$46.00,$1.60,$35.00,$16.00,$1600,$1300,$1000,The-Hague,"The Hague, Netherlands, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","658,200",97.37,✔ Equal,✔ Sexual orientation and gender identity,0.71,0.21,104,119,68,18,EUR,$47354.53,4%,"$47,355",6%,https://teleport.org/cities/the-hague/,No hay dato
